Target Action,Reference Action,Model,Run,Compiles?
Halve,Open,gpt-4-0613,1,No
Halve,Open,gpt-4-0613,2,No
Halve,Open,gpt-4-0613,3,No
Halve,Open,gpt-4-0613,4,No
Halve,Open,gpt-4-0613,5,No
Halve,Pick-Up,gpt-3.5-turbo-0301,1,No
Halve,Pick-Up,gpt-3.5-turbo-0301,2,No
Halve,Pick-Up,gpt-3.5-turbo-0301,3,No
Halve,Pick-Up,gpt-3.5-turbo-0301,4,No
Halve,Pick-Up,gpt-3.5-turbo-0301,5,No
Halve,Pick-Up,gpt-3.5-turbo-0613,1,No
Halve,Pick-Up,gpt-3.5-turbo-0613,2,No
Halve,Pick-Up,gpt-3.5-turbo-0613,3,No
Halve,Pick-Up,gpt-3.5-turbo-0613,4,No
Halve,Pick-Up,gpt-3.5-turbo-0613,5,No
Halve,Pick-Up,gpt-4-0613,1,No
Halve,Pick-Up,gpt-4-0613,2,No
Halve,Pick-Up,gpt-4-0613,3,No
Halve,Pick-Up,gpt-4-0613,4,No
Halve,Pick-Up,gpt-4-0613,5,No
Halve,Place-Down,gpt-3.5-turbo-0301,1,No
Halve,Place-Down,gpt-3.5-turbo-0301,2,No
Halve,Place-Down,gpt-3.5-turbo-0301,3,No
Halve,Place-Down,gpt-3.5-turbo-0301,4,No
Halve,Place-Down,gpt-3.5-turbo-0301,5,No
Halve,Place-Down,gpt-3.5-turbo-0613,1,No
Halve,Place-Down,gpt-3.5-turbo-0613,2,No
Halve,Place-Down,gpt-3.5-turbo-0613,3,No
Halve,Place-Down,gpt-3.5-turbo-0613,4,No
Halve,Place-Down,gpt-3.5-turbo-0613,5,No
Halve,Place-Down,gpt-4-0613,1,No
Halve,Place-Down,gpt-4-0613,2,No
Halve,Place-Down,gpt-4-0613,3,No
Halve,Place-Down,gpt-4-0613,4,No
Halve,Place-Down,gpt-4-0613,5,No
Halve,Pour,gpt-3.5-turbo-0301,1,Yes
Halve,Pour,gpt-3.5-turbo-0301,2,Yes
Halve,Pour,gpt-3.5-turbo-0301,3,Yes
Halve,Pour,gpt-3.5-turbo-0301,4,Yes
Halve,Pour,gpt-3.5-turbo-0301,5,Yes
Halve,Pour,gpt-3.5-turbo-0613,1,Yes
Halve,Pour,gpt-3.5-turbo-0613,2,Yes
Halve,Pour,gpt-3.5-turbo-0613,3,Yes
Halve,Pour,gpt-3.5-turbo-0613,4,Yes
Halve,Pour,gpt-3.5-turbo-0613,5,Yes
Halve,Pour,gpt-4-0613,1,Yes
Halve,Pour,gpt-4-0613,2,Yes
Halve,Pour,gpt-4-0613,3,Yes
Halve,Pour,gpt-4-0613,4,Yes
Halve,Pour,gpt-4-0613,5,Yes
Halve,Slice,gpt-3.5-turbo-0301,1,Yes
Halve,Slice,gpt-3.5-turbo-0301,2,Yes
Halve,Slice,gpt-3.5-turbo-0301,3,Yes
Halve,Slice,gpt-3.5-turbo-0301,4,Yes
Halve,Slice,gpt-3.5-turbo-0301,5,Yes
Halve,Slice,gpt-3.5-turbo-0613,1,No
Halve,Slice,gpt-3.5-turbo-0613,2,No
Halve,Slice,gpt-3.5-turbo-0613,3,No
Halve,Slice,gpt-3.5-turbo-0613,4,No
Halve,Slice,gpt-3.5-turbo-0613,5,No
Halve,Slice,gpt-4-0613,1,Yes
Halve,Slice,gpt-4-0613,2,Yes
Halve,Slice,gpt-4-0613,3,Yes
Halve,Slice,gpt-4-0613,4,Yes
Halve,Slice,gpt-4-0613,5,Yes
Halve,Wipe,gpt-3.5-turbo-0301,1,Yes
Halve,Wipe,gpt-3.5-turbo-0301,2,Yes
Halve,Wipe,gpt-3.5-turbo-0301,3,Yes
Halve,Wipe,gpt-3.5-turbo-0301,4,Yes
Halve,Wipe,gpt-3.5-turbo-0301,5,Yes
Halve,Wipe,gpt-3.5-turbo-0613,1,Yes
Halve,Wipe,gpt-3.5-turbo-0613,2,Yes
Halve,Wipe,gpt-3.5-turbo-0613,3,Yes
Halve,Wipe,gpt-3.5-turbo-0613,4,Yes
Halve,Wipe,gpt-3.5-turbo-0613,5,Yes
Halve,Wipe,gpt-4-0613,1,Yes
Halve,Wipe,gpt-4-0613,2,Yes
Halve,Wipe,gpt-4-0613,3,Yes
Halve,Wipe,gpt-4-0613,4,Yes
Halve,Wipe,gpt-4-0613,5,Yes
Hold,Close,gpt-3.5-turbo-0301,1,No
Hold,Close,gpt-3.5-turbo-0301,2,No
Hold,Close,gpt-3.5-turbo-0301,3,No
Hold,Close,gpt-3.5-turbo-0301,4,No
Hold,Close,gpt-3.5-turbo-0301,5,No
Hold,Close,gpt-3.5-turbo-0613,1,No
Hold,Close,gpt-3.5-turbo-0613,2,No
Hold,Close,gpt-3.5-turbo-0613,3,No
Hold,Close,gpt-3.5-turbo-0613,4,No
Hold,Close,gpt-3.5-turbo-0613,5,No
Hold,Close,gpt-4-0613,1,No
Hold,Close,gpt-4-0613,2,Yes
Hold,Close,gpt-4-0613,3,Yes
Hold,Close,gpt-4-0613,4,Yes
Hold,Close,gpt-4-0613,5,Yes
Hold,Halve,gpt-3.5-turbo-0301,1,Yes
Hold,Halve,gpt-3.5-turbo-0301,2,Yes
Hold,Halve,gpt-3.5-turbo-0301,3,Yes
Hold,Halve,gpt-3.5-turbo-0301,4,Yes
Hold,Halve,gpt-3.5-turbo-0301,5,Yes
Hold,Halve,gpt-3.5-turbo-0613,1,No
Hold,Halve,gpt-3.5-turbo-0613,2,No
Hold,Halve,gpt-3.5-turbo-0613,3,No
Hold,Halve,gpt-3.5-turbo-0613,4,No
Hold,Halve,gpt-3.5-turbo-0613,5,No
Hold,Halve,gpt-4-0613,1,No
Hold,Halve,gpt-4-0613,2,Yes
Hold,Halve,gpt-4-0613,3,Yes
Hold,Halve,gpt-4-0613,4,Yes
Hold,Halve,gpt-4-0613,5,Yes
Hold,Open,gpt-3.5-turbo-0301,1,No
Hold,Open,gpt-3.5-turbo-0301,2,No
Hold,Open,gpt-3.5-turbo-0301,3,No
Hold,Open,gpt-3.5-turbo-0301,4,No
Hold,Open,gpt-3.5-turbo-0301,5,No
Hold,Open,gpt-3.5-turbo-0613,1,No
Hold,Open,gpt-3.5-turbo-0613,2,No
Hold,Open,gpt-3.5-turbo-0613,3,No
Hold,Open,gpt-3.5-turbo-0613,4,No
Hold,Open,gpt-3.5-turbo-0613,5,No
Hold,Open,gpt-4-0613,1,No
Hold,Open,gpt-4-0613,2,Yes
Hold,Open,gpt-4-0613,3,Yes
Hold,Open,gpt-4-0613,4,Yes
Hold,Open,gpt-4-0613,5,Yes
Hold,Pick-Up,gpt-3.5-turbo-0301,1,No
Hold,Pick-Up,gpt-3.5-turbo-0301,2,No
Hold,Pick-Up,gpt-3.5-turbo-0301,3,No
Hold,Pick-Up,gpt-3.5-turbo-0301,4,No
Hold,Pick-Up,gpt-3.5-turbo-0301,5,No
Hold,Pick-Up,gpt-3.5-turbo-0613,1,No
Hold,Pick-Up,gpt-3.5-turbo-0613,2,Yes
Hold,Pick-Up,gpt-3.5-turbo-0613,3,Yes
Hold,Pick-Up,gpt-3.5-turbo-0613,4,Yes
Hold,Pick-Up,gpt-3.5-turbo-0613,5,Yes
Hold,Pick-Up,gpt-4-0613,1,No
Hold,Pick-Up,gpt-4-0613,2,No
Hold,Pick-Up,gpt-4-0613,3,No
Hold,Pick-Up,gpt-4-0613,4,No
Hold,Pick-Up,gpt-4-0613,5,No
Hold,Place-Down,gpt-3.5-turbo-0301,1,Yes
Hold,Place-Down,gpt-3.5-turbo-0301,2,Yes
Hold,Place-Down,gpt-3.5-turbo-0301,3,Yes
Hold,Place-Down,gpt-3.5-turbo-0301,4,Yes
Hold,Place-Down,gpt-3.5-turbo-0301,5,Yes
Hold,Place-Down,gpt-3.5-turbo-0613,1,No
Hold,Place-Down,gpt-3.5-turbo-0613,2,No
Hold,Place-Down,gpt-3.5-turbo-0613,3,No
Hold,Place-Down,gpt-3.5-turbo-0613,4,No
Hold,Place-Down,gpt-3.5-turbo-0613,5,No
Hold,Place-Down,gpt-4-0613,1,No
Hold,Place-Down,gpt-4-0613,2,Yes
Hold,Place-Down,gpt-4-0613,3,Yes
Hold,Place-Down,gpt-4-0613,4,Yes
Hold,Place-Down,gpt-4-0613,5,Yes
Hold,Pour,gpt-3.5-turbo-0301,1,Yes
Hold,Pour,gpt-3.5-turbo-0301,2,Yes
Hold,Pour,gpt-3.5-turbo-0301,3,Yes
Hold,Pour,gpt-3.5-turbo-0301,4,Yes
Hold,Pour,gpt-3.5-turbo-0301,5,Yes
Hold,Pour,gpt-3.5-turbo-0613,1,No
Hold,Pour,gpt-3.5-turbo-0613,2,No
Hold,Pour,gpt-3.5-turbo-0613,3,No
Hold,Pour,gpt-3.5-turbo-0613,4,No
Hold,Pour,gpt-3.5-turbo-0613,5,No
Hold,Pour,gpt-4-0613,1,Yes
Hold,Pour,gpt-4-0613,2,Yes
Hold,Pour,gpt-4-0613,3,Yes
Hold,Pour,gpt-4-0613,4,Yes
Hold,Pour,gpt-4-0613,5,Yes
Hold,Slice,gpt-3.5-turbo-0301,1,Yes
Hold,Slice,gpt-3.5-turbo-0301,2,Yes
Hold,Slice,gpt-3.5-turbo-0301,3,Yes
Hold,Slice,gpt-3.5-turbo-0301,4,Yes
Hold,Slice,gpt-3.5-turbo-0301,5,Yes
Hold,Slice,gpt-3.5-turbo-0613,1,No
Hold,Slice,gpt-3.5-turbo-0613,2,No
Hold,Slice,gpt-3.5-turbo-0613,3,No
Hold,Slice,gpt-3.5-turbo-0613,4,No
Hold,Slice,gpt-3.5-turbo-0613,5,No
Hold,Slice,gpt-4-0613,1,No
Hold,Slice,gpt-4-0613,2,Yes
Hold,Slice,gpt-4-0613,3,Yes
Hold,Slice,gpt-4-0613,4,Yes
Hold,Slice,gpt-4-0613,5,Yes
Hold,Wipe,gpt-3.5-turbo-0301,1,No
Hold,Wipe,gpt-3.5-turbo-0301,2,Yes
Hold,Wipe,gpt-3.5-turbo-0301,3,Yes
Hold,Wipe,gpt-3.5-turbo-0301,4,No
Hold,Wipe,gpt-3.5-turbo-0301,5,No
Hold,Wipe,gpt-3.5-turbo-0613,1,Yes
Hold,Wipe,gpt-3.5-turbo-0613,2,Yes
Hold,Wipe,gpt-3.5-turbo-0613,3,Yes
Hold,Wipe,gpt-3.5-turbo-0613,4,Yes
Hold,Wipe,gpt-3.5-turbo-0613,5,Yes
Hold,Wipe,gpt-4-0613,1,Yes
Hold,Wipe,gpt-4-0613,2,No
Hold,Wipe,gpt-4-0613,3,No
Hold,Wipe,gpt-4-0613,4,No
Hold,Wipe,gpt-4-0613,5,No
Open,Close,gpt-3.5-turbo-0301,1,No
Open,Close,gpt-3.5-turbo-0301,2,No
Open,Close,gpt-3.5-turbo-0301,3,No
Open,Close,gpt-3.5-turbo-0301,4,No
Open,Close,gpt-3.5-turbo-0301,5,No
Open,Close,gpt-3.5-turbo-0613,1,No
Open,Close,gpt-3.5-turbo-0613,2,No
Open,Close,gpt-3.5-turbo-0613,3,No
Open,Close,gpt-3.5-turbo-0613,4,No
Open,Close,gpt-3.5-turbo-0613,5,No
Open,Close,gpt-4-0613,1,No
Open,Close,gpt-4-0613,2,No
Open,Close,gpt-4-0613,3,No
Open,Close,gpt-4-0613,4,No
Open,Close,gpt-4-0613,5,No
Open,Halve,gpt-3.5-turbo-0301,1,Yes
Open,Halve,gpt-3.5-turbo-0301,2,Yes
Open,Halve,gpt-3.5-turbo-0301,3,Yes
Open,Halve,gpt-3.5-turbo-0301,4,Yes
Open,Halve,gpt-3.5-turbo-0301,5,Yes
Open,Halve,gpt-3.5-turbo-0613,1,No
Open,Halve,gpt-3.5-turbo-0613,2,No
Open,Halve,gpt-3.5-turbo-0613,3,No
Open,Halve,gpt-3.5-turbo-0613,4,No
Open,Halve,gpt-3.5-turbo-0613,5,No
Open,Halve,gpt-4-0613,1,Yes
Open,Halve,gpt-4-0613,2,No
Open,Halve,gpt-4-0613,3,No
Open,Halve,gpt-4-0613,4,No
Open,Halve,gpt-4-0613,5,No
Open,Hold,gpt-3.5-turbo-0301,1,No
Open,Hold,gpt-3.5-turbo-0301,2,No
Open,Hold,gpt-3.5-turbo-0301,3,No
Open,Hold,gpt-3.5-turbo-0301,4,No
Open,Hold,gpt-3.5-turbo-0301,5,No
Open,Hold,gpt-3.5-turbo-0613,1,No
Open,Hold,gpt-3.5-turbo-0613,2,No
Open,Hold,gpt-3.5-turbo-0613,3,No
Open,Hold,gpt-3.5-turbo-0613,4,No
Open,Hold,gpt-3.5-turbo-0613,5,No
Open,Hold,gpt-4-0613,1,No
Open,Hold,gpt-4-0613,2,No
Open,Hold,gpt-4-0613,3,No
Open,Hold,gpt-4-0613,4,No
Open,Hold,gpt-4-0613,5,No
Open,Pick-Up,gpt-3.5-turbo-0301,1,No
Open,Pick-Up,gpt-3.5-turbo-0301,2,No
Open,Pick-Up,gpt-3.5-turbo-0301,3,No
Open,Pick-Up,gpt-3.5-turbo-0301,4,No
Open,Pick-Up,gpt-3.5-turbo-0301,5,No
Open,Pick-Up,gpt-3.5-turbo-0613,1,No
Open,Pick-Up,gpt-3.5-turbo-0613,2,No
Open,Pick-Up,gpt-3.5-turbo-0613,3,No
Open,Pick-Up,gpt-3.5-turbo-0613,4,No
Open,Pick-Up,gpt-3.5-turbo-0613,5,No
Open,Pick-Up,gpt-4-0613,1,No
Open,Pick-Up,gpt-4-0613,2,No
Open,Pick-Up,gpt-4-0613,3,No
Open,Pick-Up,gpt-4-0613,4,No
Open,Pick-Up,gpt-4-0613,5,No
Open,Place-Down,gpt-3.5-turbo-0301,1,No
Open,Place-Down,gpt-3.5-turbo-0301,2,No
Open,Place-Down,gpt-3.5-turbo-0301,3,No
Open,Place-Down,gpt-3.5-turbo-0301,4,No
Open,Place-Down,gpt-3.5-turbo-0301,5,No
Open,Place-Down,gpt-3.5-turbo-0613,1,No
Open,Place-Down,gpt-3.5-turbo-0613,2,No
Open,Place-Down,gpt-3.5-turbo-0613,3,No
Open,Place-Down,gpt-3.5-turbo-0613,4,No
Open,Place-Down,gpt-3.5-turbo-0613,5,No
Open,Place-Down,gpt-4-0613,1,No
Open,Place-Down,gpt-4-0613,2,No
Open,Place-Down,gpt-4-0613,3,No
Open,Place-Down,gpt-4-0613,4,No
Open,Place-Down,gpt-4-0613,5,No
Open,Pour,gpt-3.5-turbo-0301,1,Yes
Open,Pour,gpt-3.5-turbo-0301,2,Yes
Open,Pour,gpt-3.5-turbo-0301,3,Yes
Open,Pour,gpt-3.5-turbo-0301,4,Yes
Open,Pour,gpt-3.5-turbo-0301,5,Yes
Open,Pour,gpt-3.5-turbo-0613,1,Yes
Open,Pour,gpt-3.5-turbo-0613,2,Yes
Open,Pour,gpt-3.5-turbo-0613,3,Yes
Open,Pour,gpt-3.5-turbo-0613,4,Yes
Open,Pour,gpt-3.5-turbo-0613,5,Yes
Open,Pour,gpt-4-0613,1,Yes
Open,Pour,gpt-4-0613,2,Yes
Open,Pour,gpt-4-0613,3,Yes
Open,Pour,gpt-4-0613,4,Yes
Open,Pour,gpt-4-0613,5,Yes
Open,Slice,gpt-3.5-turbo-0301,1,Yes
Open,Slice,gpt-3.5-turbo-0301,2,Yes
Open,Slice,gpt-3.5-turbo-0301,3,Yes
Open,Slice,gpt-3.5-turbo-0301,4,Yes
Open,Slice,gpt-3.5-turbo-0301,5,Yes
Open,Slice,gpt-3.5-turbo-0613,1,No
Open,Slice,gpt-3.5-turbo-0613,2,No
Open,Slice,gpt-3.5-turbo-0613,3,No
Open,Slice,gpt-3.5-turbo-0613,4,No
Open,Slice,gpt-3.5-turbo-0613,5,No
Open,Slice,gpt-4-0613,1,No
Open,Slice,gpt-4-0613,2,Yes
Open,Slice,gpt-4-0613,3,Yes
Open,Slice,gpt-4-0613,4,Yes
Open,Slice,gpt-4-0613,5,Yes
Open,Wipe,gpt-3.5-turbo-0301,1,Yes
Open,Wipe,gpt-3.5-turbo-0301,2,Yes
Open,Wipe,gpt-3.5-turbo-0301,3,Yes
Open,Wipe,gpt-3.5-turbo-0301,4,Yes
Open,Wipe,gpt-3.5-turbo-0301,5,Yes
Open,Wipe,gpt-3.5-turbo-0613,1,Yes
Open,Wipe,gpt-3.5-turbo-0613,2,Yes
Open,Wipe,gpt-3.5-turbo-0613,3,Yes
Open,Wipe,gpt-3.5-turbo-0613,4,Yes
Open,Wipe,gpt-3.5-turbo-0613,5,Yes
Open,Wipe,gpt-4-0613,1,Yes
Open,Wipe,gpt-4-0613,2,No
Open,Wipe,gpt-4-0613,3,No
Open,Wipe,gpt-4-0613,4,Yes
Open,Wipe,gpt-4-0613,5,Yes
Pick-Up,Close,gpt-3.5-turbo-0301,1,No
Pick-Up,Close,gpt-3.5-turbo-0301,2,No
Pick-Up,Close,gpt-3.5-turbo-0301,3,No
Pick-Up,Close,gpt-3.5-turbo-0301,4,No
Pick-Up,Close,gpt-3.5-turbo-0301,5,No
Pick-Up,Close,gpt-3.5-turbo-0613,1,No
Pick-Up,Close,gpt-3.5-turbo-0613,2,No
Pick-Up,Close,gpt-3.5-turbo-0613,3,No
Pick-Up,Close,gpt-3.5-turbo-0613,4,No
Pick-Up,Close,gpt-3.5-turbo-0613,5,No
Pick-Up,Close,gpt-4-0613,1,No
Pick-Up,Close,gpt-4-0613,2,No
Pick-Up,Close,gpt-4-0613,3,No
Pick-Up,Close,gpt-4-0613,4,No
Pick-Up,Close,gpt-4-0613,5,No
Pick-Up,Halve,gpt-3.5-turbo-0301,1,No
Pick-Up,Halve,gpt-3.5-turbo-0301,2,Yes
Pick-Up,Halve,gpt-3.5-turbo-0301,3,Yes
Pick-Up,Halve,gpt-3.5-turbo-0301,4,Yes
Pick-Up,Halve,gpt-3.5-turbo-0301,5,Yes
Pick-Up,Halve,gpt-3.5-turbo-0613,1,No
Pick-Up,Halve,gpt-3.5-turbo-0613,2,No
Pick-Up,Halve,gpt-3.5-turbo-0613,3,No
Pick-Up,Halve,gpt-3.5-turbo-0613,4,No
Pick-Up,Halve,gpt-3.5-turbo-0613,5,No
Pick-Up,Halve,gpt-4-0613,1,No
Pick-Up,Halve,gpt-4-0613,2,Yes
Pick-Up,Halve,gpt-4-0613,3,Yes
Pick-Up,Halve,gpt-4-0613,4,Yes
Pick-Up,Halve,gpt-4-0613,5,Yes
Pick-Up,Hold,gpt-3.5-turbo-0301,1,Yes
Pick-Up,Hold,gpt-3.5-turbo-0301,2,Yes
Pick-Up,Hold,gpt-3.5-turbo-0301,3,Yes
Pick-Up,Hold,gpt-3.5-turbo-0301,4,Yes
Pick-Up,Hold,gpt-3.5-turbo-0301,5,Yes
Pick-Up,Hold,gpt-3.5-turbo-0613,1,Yes
Pick-Up,Hold,gpt-3.5-turbo-0613,2,Yes
Pick-Up,Hold,gpt-3.5-turbo-0613,3,Yes
Pick-Up,Hold,gpt-3.5-turbo-0613,4,Yes
Pick-Up,Hold,gpt-3.5-turbo-0613,5,Yes
Pick-Up,Hold,gpt-4-0613,1,No
Pick-Up,Hold,gpt-4-0613,2,Yes
Pick-Up,Hold,gpt-4-0613,3,Yes
Pick-Up,Hold,gpt-4-0613,4,Yes
Pick-Up,Hold,gpt-4-0613,5,Yes
Pick-Up,Open,gpt-3.5-turbo-0301,1,No
Pick-Up,Open,gpt-3.5-turbo-0301,2,No
Pick-Up,Open,gpt-3.5-turbo-0301,3,No
Pick-Up,Open,gpt-3.5-turbo-0301,4,No
Pick-Up,Open,gpt-3.5-turbo-0301,5,No
Pick-Up,Open,gpt-3.5-turbo-0613,1,No
Pick-Up,Open,gpt-3.5-turbo-0613,2,No
Pick-Up,Open,gpt-3.5-turbo-0613,3,No
Pick-Up,Open,gpt-3.5-turbo-0613,4,No
